order_item_id,order_id,product_id,quantity,unit_price,discount
1,1,19,4,249.49,0
2,2,8,5,314.61,0.1
3,2,17,5,182.53,0.15
4,2,24,5,257.36,0
5,3,12,4,204.04,0
6,3,1,3,227.98,0.05
7,4,10,2,138.55,0.1
8,4,11,4,65.78,0
9,4,15,4,186.42,0
10,5,26,1,266.19,0
11,6,30,2,34.5,0.1
12,6,24,2,257.36,0.1
13,7,26,2,266.19,0
14,7,13,4,38.88,0.05
15,8,13,2,38.88,0
16,8,1,1,227.98,0.1
17,8,23,1,163.2,0.1
18,8,7,2,54.0,0
19,9,17,4,182.53,0.1
20,9,21,4,146.97,0.1
21,9,11,1,65.78,0
22,9,20,3,112.54,0.05
23,10,30,1,34.5,0.15
24,10,20,2,112.54,0
25,10,19,1,249.49,0
26,11,17,4,182.53,0.1
27,11,13,2,38.88,0.1
28,12,18,4,90.87,0
29,12,6,2,110.86,0
30,13,1,2,227.98,0.05
31,13,16,5,245.64,0.1
32,13,5,4,208.06,0.05
33,14,16,1,245.64,0
34,14,6,3,110.86,0
35,14,3,3,84.51,0
36,14,19,5,249.49,0
37,15,18,1,90.87,0
38,15,17,5,182.53,0
39,15,4,5,255.55,0
40,15,19,4,249.49,0.1
41,16,10,1,138.55,0.05
42,16,28,3,120.31,0
43,17,7,5,54.0,0.15
44,17,26,3,266.19,0.15
45,18,26,2,266.19,0
46,18,7,5,54.0,0
47,19,11,3,65.78,0
48,19,23,5,163.2,0
49,20,30,2,34.5,0.15
50,20,2,2,192.11,0
51,20,9,2,91.0,0.15
52,20,28,3,120.31,0
53,21,21,4,146.97,0
54,21,14,1,162.75,0.05
55,21,13,5,38.88,0.15
56,22,28,1,120.31,0.15
57,23,28,5,120.31,0.05
58,23,3,2,84.51,0.05
59,23,26,2,266.19,0.05
60,24,19,4,249.49,0
61,24,28,1,120.31,0
62,25,15,4,186.42,0
63,25,1,2,227.98,0.15
64,26,9,2,91.0,0
65,26,3,4,84.51,0.15
66,26,12,3,204.04,0.15
67,27,1,2,227.98,0.05
68,28,1,1,227.98,0.05
69,28,23,2,163.2,0.05
70,28,11,1,65.78,0
71,28,27,4,168.64,0
72,29,5,2,208.06,0.15
73,29,13,2,38.88,0
74,29,25,5,110.84,0.1
75,30,21,2,146.97,0.05
76,30,24,5,257.36,0.15
77,31,19,4,249.49,0
78,32,21,5,146.97,0.1
79,32,3,5,84.51,0.15
80,32,8,5,314.61,0
81,33,17,5,182.53,0
82,33,20,4,112.54,0
83,34,8,4,314.61,0.15
84,35,5,5,208.06,0.05
85,35,13,3,38.88,0.1
86,35,28,2,120.31,0.05
87,36,1,3,227.98,0
88,37,21,4,146.97,0.05
89,37,23,4,163.2,0
90,37,17,5,182.53,0.1
91,38,17,2,182.53,0
92,39,10,4,138.55,0.15
93,40,4,3,255.55,0.15
94,40,15,2,186.42,0
95,40,20,1,112.54,0.15
96,40,2,2,192.11,0.15
97,41,6,3,110.86,0.15
98,41,12,1,204.04,0
99,41,5,3,208.06,0.05
100,42,16,4,245.64,0.1
101,43,12,3,204.04,0
102,43,6,5,110.86,0.15
103,44,2,1,192.11,0
104,45,30,1,34.5,0.1
105,45,28,4,120.31,0
106,46,27,3,168.64,0
107,46,3,5,84.51,0.15
108,46,19,1,249.49,0
109,47,25,3,110.84,0
110,47,28,5,120.31,0.05
111,47,10,1,138.55,0
112,48,15,5,186.42,0.05
113,48,12,2,204.04,0.15
