order_id,customer_id,employee_id,order_date,ship_date,order_status,region
1,337,11,2023-06-20,2023-06-25,Returned,West
2,495,15,2023-04-19,2023-04-20,Completed,West
3,229,8,2024-02-05,2024-02-12,Completed,East
4,472,3,2023-04-29,2023-05-01,Returned,West
5,225,13,2023-11-23,2023-11-26,Completed,North
6,435,8,2024-10-25,2024-10-31,Completed,East
7,82,10,2024-07-27,2024-07-31,Completed,South
8,15,12,2024-09-20,2024-09-24,Completed,East
9,167,6,2024-04-13,2024-04-16,Completed,South
10,317,6,2024-11-20,2024-11-27,Returned,South
11,157,3,2023-07-07,2023-07-13,Completed,West
12,197,13,2023-07-10,2023-07-16,Completed,North
13,162,8,2024-09-26,2024-10-03,Completed,East
14,351,15,2024-03-01,2024-03-08,Returned,West
15,87,14,2024-08-02,2024-08-09,Returned,South
16,112,14,2023-04-15,2023-04-22,Returned,South
17,442,3,2024-03-25,2024-04-01,Completed,West
18,313,15,2023-06-19,,Cancelled,West
19,273,8,2024-09-03,,Cancelled,East
20,488,12,2024-11-26,2024-11-28,Completed,East
21,390,15,2024-05-16,2024-05-21,Completed,West
22,143,10,2024-04-10,2024-04-13,Completed,South
23,498,8,2024-10-12,2024-10-18,Returned,East
24,138,8,2023-10-18,2023-10-23,Completed,East
25,51,15,2023-01-17,2023-01-24,Completed,West
26,155,5,2023-10-08,2023-10-14,Completed,North
27,359,7,2024-03-15,2024-03-16,Returned,West
28,40,6,2024-08-30,2024-09-04,Completed,South
29,375,4,2023-04-16,2023-04-19,Completed,East
30,5,6,2024-03-26,2024-04-01,Completed,South
31,227,7,2023-03-30,2023-04-01,Completed,West
32,494,13,2023-11-19,2023-11-21,Completed,North
33,399,12,2023-01-28,2023-01-31,Returned,East
34,331,3,2023-09-03,2023-09-07,Completed,West
35,305,2,2024-06-24,2024-06-27,Completed,South
36,489,1,2023-01-18,,Cancelled,North
37,21,1,2024-02-12,,Cancelled,North
38,316,6,2023-10-12,2023-10-15,Completed,South
39,275,9,2024-02-05,,Cancelled,North
40,489,5,2023-03-01,2023-03-02,Completed,North
41,6,7,2024-05-23,2024-05-28,Completed,West
42,140,12,2023-03-07,2023-03-13,Completed,East
43,185,1,2024-05-26,,Cancelled,North
44,371,4,2023-08-22,2023-08-27,Returned,East
45,24,15,2024-01-08,2024-01-10,Completed,West
46,165,4,2024-03-02,2024-03-05,Returned,East
47,115,3,2024-02-15,2024-02-19,Completed,West
48,103,10,2024-07-31,2024-08-06,Completed,South
49,462,7,2023-06-04,2023-06-08,Completed,West
50,326,3,2023-12-10,2023-12-17,Completed,West
51,144,4,2023-02-14,2023-02-21,Completed,East
52,304,12,2023-03-05,2023-03-11,Completed,East
53,426,11,2023-11-22,2023-11-25,Completed,West
54,55,7,2024-04-05,2024-04-08,Completed,West
55,414,11,2024-12-22,2024-12-27,Returned,West
56,47,12,2023-09-12,2023-09-16,Completed,East
57,420,4,2023-02-01,2023-02-08,Completed,East
58,102,15,2024-01-17,2024-01-23,Returned,West
59,470,3,2023-01-23,2023-01-25,Completed,West
60,421,13,2024-05-23,2024-05-27,Completed,North
61,316,6,2024-10-24,2024-10-28,Completed,South
62,323,12,2023-01-20,2023-01-27,Completed,East
63,139,4,2023-01-27,2023-02-01,Completed,East
64,184,5,2023-06-13,2023-06-15,Completed,North
65,182,4,2023-06-30,2023-07-05,Completed,East
66,289,7,2024-07-30,2024-08-06,Completed,West
67,245,3,2023-12-06,,Cancelled,West
68,31,2,2023-06-01,,Cancelled,South
69,361,12,2024-02-10,,Cancelled,East
70,70,5,2024-03-23,2024-03-27,Returned,North
71,194,8,2024-12-06,2024-12-08,Completed,East
72,94,12,2023-11-22,,Cancelled,East
73,382,4,2023-09-01,2023-09-04,Completed,East
74,6,11,2023-08-03,2023-08-09,Completed,West
75,369,3,2023-02-19,2023-02-23,Completed,West
76,389,6,2023-06-16,2023-06-17,Completed,South
77,134,2,2023-03-17,2023-03-19,Completed,South
78,483,6,2024-09-13,2024-09-15,Completed,South
79,499,7,2024-02-24,2024-02-29,Returned,West
80,79,3,2024-01-05,2024-01-09,Completed,West
81,103,2,2023-01-27,2023-01-29,Completed,South
82,136,2,2024-10-19,,Cancelled,South
83,116,10,2024-07-31,2024-08-02,Completed,South
84,212,12,2023-08-21,,Cancelled,East
85,215,12,2024-12-04,2024-12-09,Completed,East
86,293,6,2023-05-04,2023-05-06,Completed,South
87,41,13,2023-07-26,2023-07-28,Returned,North
88,167,10,2024-06-16,2024-06-23,Completed,South
89,268,14,2023-04-26,2023-04-28,Completed,South
90,403,9,2024-07-02,2024-07-06,Completed,North
91,207,7,2024-09-25,,Cancelled,West
92,160,11,2024-05-18,2024-05-24,Returned,West
93,154,15,2023-11-25,2023-12-01,Completed,West
94,264,4,2023-03-09,2023-03-15,Completed,East
95,234,4,2024-01-05,2024-01-07,Returned,East
96,191,15,2024-08-31,2024-09-02,Completed,West
97,438,5,2023-08-15,2023-08-17,Returned,North
98,5,14,2023-05-16,2023-05-18,Returned,South
99,413,11,2024-12-30,2025-01-05,Returned,West
100,347,14,2024-08-21,2024-08-22,Completed,South
101,33,10,2023-10-11,2023-10-14,Returned,South
102,413,15,2024-11-07,2024-11-13,Completed,West
103,208,14,2023-02-06,,Cancelled,South
104,402,13,2024-11-18,2024-11-23,Completed,North
105,380,9,2024-07-26,2024-08-01,Completed,North
106,134,10,2024-04-19,2024-04-23,Completed,South
107,484,3,2024-04-28,2024-05-03,Completed,West
108,153,8,2023-02-25,2023-02-27,Completed,East
109,442,7,2023-03-24,2023-03-27,Completed,West
110,108,4,2024-08-13,2024-08-17,Completed,East
111,325,15,2024-02-18,2024-02-22,Completed,West
112,376,7,2023-08-20,2023-08-23,Returned,West
113,153,8,2024-04-11,2024-04-16,Returned,East
114,486,15,2023-01-20,2023-01-22,Completed,West
115,64,10,2024-12-29,2025-01-05,Returned,South
116,320,2,2024-08-31,2024-09-06,Completed,South
117,354,3,2024-03-02,2024-03-06,Completed,West
118,360,7,2023-07-30,2023-08-05,Returned,West
119,52,12,2024-06-16,2024-06-21,Completed,East
120,145,1,2023-04-19,2023-04-21,Completed,North
121,210,8,2023-06-14,2023-06-19,Completed,East
122,253,7,2023-04-03,,Cancelled,West
123,330,4,2024-04-12,2024-04-15,Completed,East
124,436,3,2023-01-10,2023-01-16,Completed,West
125,48,9,2023-12-17,2023-12-18,Completed,North
126,372,1,2023-06-13,2023-06-17,Completed,North
127,472,15,2023-04-26,2023-04-30,Completed,West
128,161,4,2024-12-22,2024-12-27,Returned,East
129,359,3,2024-03-19,2024-03-25,Returned,West
130,28,2,2024-10-20,2024-10-25,Completed,South
131,282,12,2024-01-23,2024-01-30,Completed,East
132,439,13,2024-04-02,2024-04-03,Completed,North
133,494,9,2024-06-04,,Cancelled,North
134,419,6,2024-04-10,2024-04-15,Completed,South
135,268,10,2024-12-19,2024-12-20,Completed,South
