product_id,product_name,category,cost_price,unit_price
1,Headphones,Electronics,142.58,227.98
2,Bluetooth Speaker,Electronics,94.93,192.11
3,Webcam,Electronics,52.78,84.51
4,Laptop Stand,Electronics,123.24,255.55
5,USB-C Hub,Electronics,146.26,208.06
6,Monitor,Electronics,51.5,110.86
7,Keyboard,Electronics,34.12,54.0
8,Mouse,Electronics,144.86,314.61
9,Notebook,Office Supplies,47.26,91.0
10,Stapler,Office Supplies,76.2,138.55
11,Desk Organizer,Office Supplies,40.15,65.78
12,Sticky Notes,Office Supplies,123.39,204.04
13,Pen Set,Office Supplies,21.51,38.88
14,Printer Paper,Office Supplies,90.87,162.75
15,Whiteboard,Office Supplies,103.85,186.42
16,Office Chair,Furniture,143.19,245.64
17,Standing Desk,Furniture,107.71,182.53
18,Bookshelf,Furniture,47.24,90.87
19,Filing Cabinet,Furniture,123.75,249.49
20,Desk Lamp,Furniture,64.33,112.54
21,Coffee Maker,Home & Kitchen,96.83,146.97
22,Blender,Home & Kitchen,100.51,195.36
23,Air Fryer,Home & Kitchen,119.42,163.2
24,Cookware Set,Home & Kitchen,148.65,257.36
25,Toaster,Home & Kitchen,63.12,110.84
26,Yoga Mat,Sports,138.46,266.19
27,Dumbbell Set,Sports,83.83,168.64
28,Water Bottle,Sports,57.13,120.31
29,Resistance Bands,Sports,82.85,155.29
30,Running Shoes,Sports,17.32,34.5
